College,Latitude,Longitude,City,State
Kennesaw State University,34.0234337,-84.6154897,Kennesaw,GA
UC Davis,38.5449065,-121.7405167,Davis,CA
Abilene Christian University,32.4487364,-99.73314390000002,Abilene,TX
Cal Poly,35.2827524,-120.6596156,San Luis Obispo,CA
Brown University,41.8239891,-71.4128343,Providence,RI
Virginia Commonwealth University,37.5407246,-77.4360481,Richmond,VA
Bucknell University,40.9645293,-76.8844101,Lewisburg,PA
Barry University,25.8631515,-80.1928253,Miami Shores,FL
Tulane University,29.9508941,-90.07583559999999,New Orleans,LA
University of West Florida,30.42130899999999,-87.2169149,Pensacola,FL
San Diego State University,32.715738,-117.1610838,San Diego,CA
Saint Mary's College of California,37.8349263,-122.1296871,Moraga,CA
Flagler College,29.8921835,-81.3139313,St. Augustine,FL
Monmouth University,40.2903891,-74.0176381,West Long Branch,NJ
University of Tennessee at Chattanooga,35.0457984,-85.3093995,Chattanooga,TN
Cleveland State University,41.49932,-81.6943605,Cleveland,OH
Weber State University,41.223,-111.9738304,Ogden,UT
UC San Diego,32.715738,-117.1610838,San Diego,CA
Idaho State University,42.8621042,-112.4506191,Pocatello,ID
Saint Leo University,28.3372251,-82.2584191,Saint Leo,FL
South Carolina State University,33.4918203,-80.8556476,Orangeburg,SC
University of Chicago,41.8781136,-87.6297982,Chicago,IL
University of Toledo,41.6528052,-83.5378674,Toledo,OH
Keiser University,26.7144532,-80.0549456,West Palm Beach,FL
Belmont University,36.1305357,-86.79359099999999,Nashville,TN
Western Michigan University,42.2917069,-85.5872286,Kalamazoo,MI
Georgia State University,33.7501275,-84.3885209,Atlanta,GA
Alabama State University,32.3792233,-86.3077368,Montgomery,AL
University of Dayton,39.7589478,-84.1916069,Dayton,OH
Tufts University,42.4184296,-71.1061639,Medford,MA
Bellarmine University,38.2468618,-85.7663724,Louisville,KY
Coastal Carolina University,33.8160058,-78.680016,North Myrtle Beach,SC
University of Idaho,46.73238749999999,-117.0001651,Moscow,ID
Temple University,39.9525839,-75.1652215,Philadelphia,PA
Florida Southern College,28.0394654,-81.9498042,Lakeland,FL
Claremont-Mudd-Scripps Colleges,34.0966764,-117.7197785,Claremont,CA
Sacramento State University,38.5781342,-121.4944209,Sacramento,CA
Columbus State University,32.4609764,-84.9877094,Columbus,GA
Mercer University,32.8406946,-83.6324022,Macon,GA
Drexel University,39.9525839,-75.1652215,Philadelphia,PA
Eastern Kentucky University,37.7478572,-84.2946539,Richmond,KY
College of Charleston,32.7833163,-79.9319664,Charleston,SC
Catawba College,35.6709727,-80.4742261,Salisbury,NC
Lipscomb University,36.1626638,-86.7816016,Nashville,TN
Tyler Junior College,32.3512601,-95.30106239999999,Tyler,TX
Creighton University,41.2565369,-95.9345034,Omaha,NE
Boston College,42.3370413,-71.20922139999999,Newton,MA
Florida Gulf Coast University,26.6409247,-81.8605575,Fort Myers,FL
College of William and Mary,37.2707022,-76.7074571,Williamsburg,VA
Ball State University,40.1936877,-85.3876714,Muncie,IN
University of North Dakota,47.9252568,-97.0328547,Grand Forks,ND
Xavier University,39.1031182,-84.5120196,Cincinnati,OH
James Madison University,38.4495688,-78.8689155,Harrisonburg,VA
Azusa Pacific University,34.1336186,-117.9075627,Azusa,CA
University of New Orleans,29.9508941,-90.07583559999999,New Orleans,LA
Lee University,35.1595182,-84.8766115,Cleveland,TN
Tennessee Wesleyan College,35.4428512,-84.5929898,Athens,TN
UNC Asheville,35.5975104,-82.54605629999999,Asheville,NC
Montana State University-Bozeman,45.67931189999999,-111.037259,Bozeman,MT
U.S. Naval Academy,38.9784453,-76.4921829,Annapolis,MD
Wofford College,34.9515959,-81.9327167,Spartanburg,SC
Middlebury College,44.0151433,-73.16695539999999,Middlebury,VT
Denison University,40.06811920000001,-82.51960369999999,Granville,OH
Campbell University,35.7595731,-79.01929969999999,,NC
Washburn University,39.0473451,-95.67515759999999,Topeka,KS
University of Richmond,37.5407246,-77.4360481,Richmond,VA
Youngstown State University,41.0997803,-80.6495194,Youngstown,OH
Case Western Reserve University,41.49932,-81.6943605,Cleveland,OH
Midwestern State University,33.9137085,-98.4933873,Wichita Falls,TX
Davidson College,35.4993031,-80.8486846,Davidson,NC
Loyola Marymount University,34.0549076,-118.242643,Los Angeles,CA
New Mexico State University,32.3199396,-106.7636538,Las Cruces,NM
Mississippi College,32.3415342,-90.3217585,Clinton,MS
Northern Illinois University,41.9295355,-88.74991279999999,DeKalb,IL
North Carolina Central University,35.9940329,-78.898619,Durham,NC
Our Lady of the Lake University,29.4251905,-98.4945922,San Antonio,TX
North Carolina A&T State University,36.0725632,-79.791534,Greensboro,NC
Amherst College,42.3732216,-72.5198537,Amherst,MA
Duquesne University,40.44062479999999,-79.9958864,Pittsburgh,PA
University of Incarnate Word,29.4667793,-98.4665406,San Antonio,TX
Wingate University,34.9843176,-80.4492319,Wingate,NC
Emory University,33.7501275,-84.3885209,Atlanta,GA
Hawaii Pacific University,21.3098845,-157.8581401,Honolulu,HI
Fairfield University,41.1408363,-73.2612615,Fairfield,CT
University of Charleston (West Virginia),38.3498195,-81.6326234,Charleston,WV
Quinnipiac University,41.3838782,-72.9026064,Hamden,CT
Boston University,42.3600825,-71.0588801,Boston,MA
Embry-Riddle Aeronautical University,29.2108147,-81.0228331,Daytona Beach,FL
Southern Arkansas University,33.2893601,-93.2361325,Magnolia,AR
The Citadel,32.7833163,-79.9319664,Charleston,SC
"University of Hawaii, Manoa",21.3098845,-157.8581401,Honolulu,HI
Wayne State University,42.331427,-83.0457538,Detroit,MI
Hofstra University,40.7048242,-73.65012949999999,West Hempstead,NY
Williams College,42.71126330000001,-73.1994775,Williamstown,MA
Bryant University,41.9220496,-71.54951009999999,Smithfield,RI
George Mason University,38.84622359999999,-77.30637329999999,Fairfax,VA
Eastern Florida State College,28.0836269,-80.60810889999999,Melbourne,FL
"University Of Texas, Permian Basin",31.8456816,-102.3676431,Odessa,TX
UNC Greensboro,36.0725632,-79.791534,Greensboro,NC
Lehigh University,40.6259316,-75.37045789999999,Bethlehem,PA
University of Georgia,33.9519347,-83.357567,Athens,GA
Swarthmore College,39.9020565,-75.3499123,Swarthmore,PA
Lubbock Christian University,33.5772284,-101.9347438,Lubbock,TX
IU-Indianapolis,39.76909,-86.158018,Indianapolis,IN
Seattle University,47.6061389,-122.3328481,Seattle,WA
"University Of Texas, Rio Grande Valley",26.3017374,-98.1633432,Edinburg,TX
Harding University,35.2437536,-91.7364422,Searcy,AR
Babson College,42.296797,-71.29238769999999,Wellesley,MA
University of North Georgia,34.5261465,-83.9843953,Dahlonega,GA
Lander University,34.1954001,-82.1617883,Greenwood,SC
Savannah College of Art & Design,32.0808989,-81.091203,Savannah,GA
Illinois State University,40.5142026,-88.9906312,Normal,IL
Rollins College,28.5999998,-81.33923519999999,Winter Park,FL
Xavier University of Louisiana,29.9508941,-90.07583559999999,New Orleans,LA
Stanford University,37.42410599999999,-122.1660756,Stanford,CA
Bowdoin College,43.9129612,-69.97619619999999,Brunswick,ME
Washington University in St. Louis,38.6270025,-90.19940419999999,St. Louis,MO
Queens University of Charlotte,35.2270869,-80.8431267,Charlotte,NC
William Carey University,31.3271189,-89.29033919999999,Hattiesburg,MS
Trinity University (Texas),29.4251905,-98.4945922,San Antonio,TX
Portland State University,45.515232,-122.6783853,Portland,OR
Carnegie Mellon University,40.44062479999999,-79.9958864,Pittsburgh,PA
Fairleigh Dickinson University,40.8845222,-74.00798209999999,Teaneck Township,NJ
Binghamton University,42.09868669999999,-75.91797380000001,Binghamton,NY
UC Riverside,33.9806005,-117.3754942,Riverside,CA
Augusta University,33.4687314,-82.0283188,Augusta,GA
U.S. Military Academy,41.3914827,-73.95597210000001,West Point,NY
"University of Hawaii, Hilo",19.7216023,-155.084887,Hilo,HI
Texas A&M University,30.627977,-96.3344068,College Station,TX
Ferris State University,43.6980782,-85.4836557,Big Rapids,MI
The University of Texas at Tyler,32.3512601,-95.30106239999999,Tyler,TX
Holy Cross College,41.7001908,-86.23793280000001,Notre Dame,IN
Belmont Abbey College,35.2438483,-81.0377936,Belmont,NC
Rockhurst University,39.0997265,-94.5785667,Kansas City,MO
St. Francis University (Pennsylvania),40.5031263,-78.630296,Loretto,PA
Saint Louis University,38.6270025,-90.19940419999999,St. Louis,MO
Northern Kentucky University,39.0331169,-84.4518854,Highland Heights,KY
Lynn University,26.3683064,-80.1289321,Boca Raton,FL
Eastern Washington University,47.7510741,-120.7401386,,WA
Siena College,42.7048009,-73.7548424,Loudonville,NY
Rensselaer Polytechnic Institute,42.7284117,-73.69178509999999,Troy,NY
Purdue University Northwest,41.5833688,-87.5000412,Hammond,IN
Fordham University,40.8447819,-73.8648268,The Bronx,NY
Emporia State University,38.403903,-96.18166260000001,Emporia,KS
Drake University,41.5868417,-93.6249522,Des Moines,IA
St. Mary's University (Texas),29.4251905,-98.4945922,San Antonio,TX
Barton College,35.7258286,-77.91112369999999,Wilson,NC
Norfolk State University,36.8507689,-76.28587259999999,Norfolk,VA
Gustavus Adolphus College,44.3258932,-93.955691,Saint Peter,MN
St. Thomas Aquinas College,41.0299672,-73.9282607,Sparkill,NY
Fresno Pacific University,36.7377981,-119.7871247,Fresno,CA
MIT,42.3736158,-71.10973349999999,Cambridge,MA
University of Texas (Austin),30.267153,-97.7430608,Austin,TX
Lincoln Memorial University,36.5823046,-83.65685789999999,Harrogate,TN
Point Loma Nazarene University (Calif.),32.715738,-117.1610838,San Diego,CA
Tusculum University,35.5174913,-86.5804473,,TN
Austin Peay State University,36.5297706,-87.3594528,Clarksville,TN
Queens College (New York),40.7647238,-73.8306716,Queens,NY
Le Moyne College,43.0481221,-76.14742439999999,Syracuse,NY
University of Nebraska at Kearney,40.69933030000001,-99.0816784,Kearney,NE
University Of Mount Olive,35.1965531,-78.06637880000001,Mount Olive,NC
Jefferson University,39.9525839,-75.1652215,Philadelphia,PA
Drury University,37.2089572,-93.29229889999999,Springfield,MO
Ouachita Baptist University,34.120994,-93.053544,Arkadelphia,AR
Cameron University,34.6035669,-98.39592909999999,Lawton,OK
Grace College (Ind.),41.2272668,-85.8219345,Winona Lake,IN
Rider University,40.2778055,-74.7294313,Lawrence Township,NJ
University of Montevallo,33.1006746,-86.86415579999999,Montevallo,AL
Jackson State University,32.2981392,-90.18065,Jackson,MS
Colorado Mesa University,39.0638705,-108.5506486,Grand Junction,CO
Pratt Community College,37.6559685,-98.7122449,Pratt,KS
McKendree University,38.6039375,-89.80731949999999,Lebanon,IL
Oklahoma State University,36.1156071,-97.0583681,Stillwater,OK
Alabama A&M University,34.7303688,-86.5861037,Huntsville,AL
Lenoir-Rhyne University,35.7344538,-81.3444573,Hickory,NC
Fairmont State University,39.4850848,-80.1425781,Fairmont,WV
Dillard University,29.994906,-90.0675145,New Orleans,LA
Wesleyan University,41.5623209,-72.6506488,Middletown,CT
Colgate University,42.8270136,-75.5446238,Hamilton,NY
Adelphi University,40.7267682,-73.6342954,Garden City,NY
Biola University,33.9172357,-118.0120086,La Mirada,CA
Southeastern Oklahoma State University,33.9924186,-96.39712329999999,Durant,OK
Villanova University,40.0375832,-75.3491813,Villanova,PA
Francis Marion University,34.1954331,-79.7625625,Florence,SC
University of Redlands,34.0555693,-117.1825381,Redlands,CA
University of the Cumberlands,36.7434169,-84.15965609999999,Williamsburg,KY
Wagner College,40.5795317,-74.1502007,Staten Island,NY
Middle Georgia State University,32.8406946,-83.6324022,Macon,GA
University of California,37.8715226,-122.273042,Berkeley,CA
College of the Holy Cross,42.2625932,-71.8022934,Worcester,MA
UCLA,34.0549076,-118.242643,Los Angeles,CA
University of Oklahoma,35.2225668,-97.4394777,Norman,OK
"University of Wisconsin, Whitewater",42.83362049999999,-88.7323272,Whitewater,WI
University of Findlay,41.0391283,-83.6502309,Findlay,OH
University of Michigan,42.2808256,-83.7430378,Ann Arbor,MI
"Union College, Kentucky",36.8664765,-83.8888138,Barbourville,KY
Pepperdine University,34.0380585,-118.6923438,Malibu,CA
Assumption University,42.2625932,-71.8022934,Worcester,MA
"University of Arkansas, Fort Smith",35.3843722,-94.42096459999999,Fort Smith,AR
West Virginia Wesleyan College,38.9939872,-80.2320276,Buckhannon,WV
University of North Carolina,35.9131996,-79.0558445,Chapel Hill,NC
North Carolina State University,35.7795897,-78.6381787,Raleigh,NC
Washington and Lee University,37.78402080000001,-79.4428157,Lexington,VA
Marist College,41.7003713,-73.9209701,Poughkeepsie,NY
University of Southern California,34.0549076,-118.242643,Los Angeles,CA
University of the District of Columbia,38.9071923,-77.0368707,Washington,DC
Georgia College,33.0801429,-83.2320991,Milledgeville,GA
Colby College,44.5520105,-69.6317121,Waterville,ME
Radford University,37.13179239999999,-80.5764477,Radford,VA
Auburn University,32.6098566,-85.48078249999999,Auburn,AL
Western New Mexico University,32.770075,-108.280326,Silver City,NM
University of Northwestern Ohio,40.742551,-84.1052256,Lima,OH
Mercyhurst University,42.12922409999999,-80.085059,Erie,PA
Davenport University,42.9633599,-85.6680863,Grand Rapids,MI
University of Indianapolis,39.709623,-86.1364602,Indianapolis,IN
Metropolitan State University of Denver,39.7392358,-104.990251,Denver,CO
Coker College,34.3742857,-80.07333129999999,Hartsville,SC
Ohio State University,39.9611755,-82.99879419999999,Columbus,OH
Hamilton College,43.0484029,-75.3785034,Clinton,NY
Sacred Heart University,41.1408363,-73.2612615,Fairfield,CT
Tiffin University,41.1144992,-83.1779746,Tiffin,OH
Saint Bonaventure University,40.7127753,-74.0059728,New York,NY
Converse College,34.9515959,-81.9327167,Spartanburg,SC
Young Harris College,32.1574351,-82.90712300000001,,GA
University of Virginia,38.0293059,-78.47667810000002,Charlottesville,VA
Pomona-Pitzer Colleges,34.0966764,-117.7197785,Claremont,CA
Collin College,33.0198431,-96.6988856,Plano,TX
Merrimack College,42.69870239999999,-71.1350575,North Andover,MA
Mount St. Mary's University,39.7045417,-77.32693069999999,Emmitsburg,MD
University of Tennessee,35.9606384,-83.9207392,Knoxville,TN
Arizona Christian University,33.4483771,-112.0740373,Phoenix,AZ
Christopher Newport University,37.0870821,-76.4730122,Newport News,VA
University of Central Florida,28.6018894,-81.20073810000001,Orlando,FL
University of Florida,29.6519563,-82.324998,Gainesville,FL
University of Mary Washington,38.3031837,-77.4605399,Fredericksburg,VA
University of Southern Indiana,37.9715592,-87.5710898,Evansville,IN
University of San Diego,32.715738,-117.1610838,San Diego,CA
Christian Brothers University,35.1495343,-90.0489801,Memphis,TN
William Woods University,38.84670819999999,-91.94795859999999,Fulton,MO
Emmanuel University,34.28482839999999,-83.1443161,Franklin Springs,GA
Edinboro University,41.87422249999999,-80.1317236,Edinboro,PA
Newberry College,34.2745833,-81.6187178,Newberry,SC
Seward County Comm. College,39.011902,-98.4842465,,KS
Concordia University Irvine,33.6845673,-117.8265049,Irvine,CA
Vanderbilt University,36.1626638,-86.7816016,Nashville,TN
Spring Hill College,30.6953657,-88.0398912,Mobile,AL
Barton County Community College,38.3644567,-98.7648073,Great Bend,KS
University of Alabama,33.2098407,-87.56917349999999,Tuscaloosa,AL
Huntington University,40.8990026,-85.499843,Huntington,IN
Brandeis University,42.3764852,-71.2356113,Waltham,MA
Oakland City University,38.3388075,-87.3451802,Oakland City,IN
Anderson University,34.5034394,-82.6501332,Anderson,SC
University of Virginia's College at Wise,36.9759345,-82.5757108,Wise,VA
Clemson University,34.6834382,-82.8373654,Clemson,SC
North Greenville University (S.C.),33.836081,-81.1637245,,SC
Loyola University New Orleans,29.9508941,-90.07583559999999,New Orleans,LA
"Texas A&M University, Texarkana",33.425125,-94.04768820000001,Texarkana,TX
University of Pikeville,37.8393332,-84.2700179,,KY
Louisiana State University,30.4514677,-91.18714659999999,Baton Rouge,LA
Occidental College,34.0549076,-118.242643,Los Angeles,CA
Haverford College,40.0022406,-75.3208107,Haverford,PA
Vassar College,41.7003713,-73.9209701,Poughkeepsie,NY
Hampton University,37.0298687,-76.34522179999999,Hampton,VA
New York University,40.7127753,-74.0059728,New York,NY
California Institute of Technology,34.1477849,-118.1445155,Pasadena,CA
Stonehill College,42.0245442,-71.1286594,Easton,MA
UC Santa Barbara,34.4208305,-119.6981901,Santa Barbara,CA
Palm Beach Atlantic University,26.7144532,-80.0549456,West Palm Beach,FL
University of South Alabama,30.6953657,-88.0398912,Mobile,AL
University of Washington,47.6061389,-122.3328481,Seattle,WA
Westmont College,34.4208305,-119.6981901,Santa Barbara,CA
Marian University (Ind.),39.8123551,-86.2025307,Indianapolis,IN
Baylor University,31.549333,-97.1466695,Waco,TX
Augustana University,43.5460223,-96.731265,Sioux Falls,SD
Delta State University,33.7440023,-90.7248187,Cleveland,MS
McPherson College,38.3708415,-97.66420869999999,McPherson,KS
Arizona State University,33.4255104,-111.9400054,Tempe,AZ
Alcorn State University,32.3546679,-89.3985283,,MS
Maryville University of Saint Louis,38.6270025,-90.19940419999999,St. Louis,MO
Old Dominion University,36.8507689,-76.28587259999999,Norfolk,VA
Walsh University,40.875891,-81.4023356,North Canton,OH
"University of Missouri, St. Louis",38.6270025,-90.19940419999999,St. Louis,MO
Morningside University,42.4963416,-96.40494079999999,Sioux City,IA
University of Mississippi,34.3659868,-89.5188246,Oxford,MS
Missouri Baptist,38.6270025,-90.19940419999999,St. Louis,MO
Trinity College (Connecticut),41.7658043,-72.6733723,Hartford,CT
Quincy University,39.9356016,-91.4098726,Quincy,IL
Carson-Newman University,36.122311,-83.492396,Jefferson City,TN
Chapman University,33.7879085,-117.855281,Orange,CA
Florida State University,30.4381828,-84.28062349999999,Tallahassee,FL
University of Rochester,43.15657789999999,-77.6088465,Rochester,NY
Salisbury University,38.3606736,-75.5993692,Salisbury,MD
Georgia Tech,33.7501275,-84.3885209,Atlanta,GA
Columbia University,40.7127753,-74.0059728,New York,NY
Menlo College,37.4560992,-122.1921047,Atherton,CA
Savannah College of Art & Design (Atlanta),33.7501275,-84.3885209,Atlanta,GA
Colorado College,38.8338816,-104.8213634,Colorado Springs,CO
Stevens Institute of Technology,40.7439905,-74.0323626,Hoboken,NJ
Southwestern University (TX),30.6332618,-97.6779842,Georgetown,TX
University of Pennsylvania,39.9525839,-75.1652215,Philadelphia,PA
Dallas Baptist University,32.7766642,-96.79698789999999,Dallas,TX
Davis and Elkins College,38.92593970000001,-79.8467349,Elkins,WV
Harvard University,42.3736158,-71.10973349999999,Cambridge,MA
Loyola University (Maryland),39.2903848,-76.6121893,Baltimore,MD
George Fox University,45.3143306,-122.9674345,Newberg,OR
San Diego State University,32.715738,-117.1610838,San Diego,CA
Franklin & Marshall College,40.0378755,-76.3055144,Lancaster,PA
Carthage College,42.5847425,-87.82118539999999,Kenosha,WI
Nicholls State University,29.7957633,-90.82287099999999,Thibodaux,LA
Brigham Young University,40.2338438,-111.6585337,Provo,UT
Yale University,41.308274,-72.9278835,New Haven,CT
University of Notre Dame,41.6763545,-86.25198979999999,South Bend,IN
Texas Tech University,33.5778239,-101.8552934,Lubbock,TX
Cowley County Community College,37.0619736,-97.0383712,Arkansas City,KS
University of Kansas,38.9716689,-95.2352501,Lawrence,KS
Florida Atlantic University,26.37374729999999,-80.10190229999999,Boca Raton,FL
Wake Forest University,36.09985959999999,-80.244216,Winston-Salem,NC
University of Illinois,40.1164204,-88.2433829,Champaign,IL
Glendale College (Calif.),34.1425078,-118.255075,Glendale,CA
Princeton University,40.3572976,-74.6672226,Princeton,NJ
Wallace State Community College-Hanceville,34.0606545,-86.76749799999999,Hanceville,AL
Berry College,32.1574351,-82.90712300000001,,GA
Whitman College,46.0819562,-118.3152699,Walla Walla,WA
Washington State University,46.7297771,-117.1817377,Pullman,WA
Lafayette College,40.688432,-75.2207323,Easton,PA
University of Arizona,32.2539787,-110.9741769,Tucson,AZ
Reinhardt University,34.1845833,-84.5493001,Canton,GA
Northwestern University,42.0450722,-87.68769689999999,Evanston,IL
Post University,41.5581525,-73.0514965,Waterbury,CT
Grinnell College,41.74340919999999,-92.7232456,Grinnell,IA
Hillsdale College,41.9200472,-84.6305101,Hillsdale,MI
Warner University (Fla.),27.9014133,-81.58590989999999,Lake Wales,FL
Bentley University,42.3764852,-71.2356113,Waltham,MA
Ventura College,34.2804923,-119.2945199,Ventura,CA
University of Arkansas,36.082156,-94.17185420000001,,AR
Texas Christian University,32.7554883,-97.3307658,Fort Worth,TX
University of Kentucky,38.0389091,-84.5152662,Lexington,KY
Georgetown College,38.2097967,-84.55883109999999,Georgetown,KY
St. Thomas University (Fla.),25.9211107,-80.25349109999999,Miami Gardens,FL
College of New Jersey,40.2599864,-74.79091249999999,Ewing Township,NJ
Ashland University,40.9062768,-82.34518899999999,Ashland,OH
Kansas State University,39.18360819999999,-96.57166939999999,Manhattan,KS
West Virginia State University,38.5976262,-80.4549026,,WV
"University of Wisconsin, Madison",43.0721661,-89.4007501,Madison,WI
Goshen College,41.5891606,-85.83456389999999,Goshen,IN
"University of Maryland, College Park",38.9896967,-76.93776,College Park,MD
St. Michael's College,44.5439375,-73.1479068,Colchester,VT
Virginia Tech,37.2295733,-80.4139393,Blacksburg,VA
University of Iowa,41.66205069999999,-91.580325,Iowa City,IA
Michigan Technological University,47.0979653,-88.5606025,Houghton,MI
Boston College,42.3370413,-71.20922139999999,Newton,MA
Abraham Baldwin Agricultural College,31.4504629,-83.5084973,Tifton,GA
Rice University,29.7600771,-95.37011079999999,Houston,TX
Purdue University,40.4258686,-86.90806549999999,West Lafayette,IN
Newman University,37.68717609999999,-97.33005299999999,Wichita,KS
